#http://www.quotenet.com/stock-price/DG
#DG,Dollar General Corporation,XNYS,US2566771059
#Date,Open,High,Low,Close,Volume,Adj Close
2010-10-01,29.290001,29.41,28.799999,29.15,997300,29.065127
2010-10-04,29.059999,29.51,28.93,28.940001,413300,28.85574
2010-10-05,29.09,29.379999,29.01,29.24,330800,29.154866
2010-10-06,29.200001,29.76,29.16,29.76,304000,29.673352
2010-10-07,29.790001,29.98,29.48,29.83,335700,29.743148
2010-10-08,29.799999,30.129999,29.540001,30.00,385200,29.912653
2010-10-11,30.07,30.07,29.27,29.34,649900,29.254575
2010-10-12,29.309999,29.68,28.68,28.809999,970800,28.726117
2010-10-13,29.00,29.32,28.76,29.24,604800,29.154866
2010-10-14,29.209999,29.25,28.15,29.00,824700,28.915565
2010-10-15,29.16,29.200001,28.870001,28.93,292600,28.845769
2010-10-18,28.99,29.34,28.950001,29.34,203800,29.254575
2010-10-19,29.15,29.32,27.950001,28.110001,943400,28.028156
2010-10-20,28.209999,28.469999,27.950001,28.10,521300,28.018185
2010-10-21,28.219999,28.559999,27.76,27.90,478300,27.818767
2010-10-22,28.00,28.27,27.959999,28.200001,795900,28.117895
2010-10-25,28.379999,28.870001,28.18,28.59,830800,28.506758
2010-10-26,28.43,28.469999,28.00,28.32,472700,28.237544
2010-10-27,28.15,28.15,27.40,27.940001,1077100,27.858651
2010-10-28,28.02,28.24,27.940001,27.940001,581500,27.858651
2010-10-29,27.870001,28.450001,27.74,28.190001,1135400,28.107923
2010-11-01,28.219999,28.309999,27.58,27.940001,1598700,27.858651
2010-11-02,28.120001,28.90,28.049999,28.639999,1256000,28.556612
2010-11-03,28.84,28.889999,28.48,28.549999,504700,28.466874
2010-11-04,28.83,28.879999,28.209999,28.35,828700,28.267457
2010-11-05,28.35,28.50,27.290001,28.00,2020900,27.918476
2010-11-08,28.01,28.440001,27.35,28.379999,527600,28.297369
2010-11-09,28.41,28.73,28.25,28.58,749900,28.496787
